id;sku;Product name;Manage stock;Stock status;Backorders;Stock;Price;Type;Parent ID
6316;dapp-hb;Сумка для ноутбука Dapp-HB;yes;instock;no;;;variable;
7453;dapp-hb.red;Blue/Red ;yes;instock;no;0;0;product-variant;6316
6319;;Рюкзак для ноутбука Rover;yes;instock;no;;;variable;
6867;rover.grey;grey ;yes;instock;no;29;1199;product-variant;6319
6321;zest.black;Рюкзак для ноутбука Zest;yes;instock;no;23;1249;variable;
6898;zest.black;black ;yes;instock;no;23;1249;product-variant;6321
6322;zest.grey;grey ;yes;instock;no;21;1249;product-variant;6321
6323;zest.blue;blue ;yes;instock;no;40;1249;product-variant;6321
6324;;Рюкзак для ноутбука Ascend-BP;yes;instock;no;;;variable;
6816;ascend-bp.grey;grey ;yes;instock;no;106;899;product-variant;6324
6325;;Сумка для ноутбука Ascend-MB;yes;instock;no;;;variable;
7436;ascend-mb.grey;grey ;yes;instock;no;199;849;product-variant;6325
6326;dapp-bp;Рюкзак для ноутбука Dapp-BP;yes;instock;no;;;variable;
6881;dapp-bp.red;Blue/Red ;yes;instock;no;3;899;product-variant;6326
6327;;Сумка для ноутбука Solo-MB;yes;instock;no;;;variable;
7153;solo-mb.black;black ;yes;instock;no;113;449;product-variant;6327
6328;;Чехол для ноутбука Zipper-L;yes;instock;no;;;variable;
7135;zipper-l.black;black ;yes;instock;no;2;399;product-variant;6328
6289;;Автомобильное зарядное устройство Cactus;yes;instock;no;;;variable;
7654;cactus.black;black ;yes;instock;no;0;0;product-variant;6289
6290;cactus.white;white ;yes;instock;no;2;249;product-variant;6289
6291;;Зарядная док-станция Powerbase;yes;instock;no;;;variable;
8116;powerbase.black;black ;yes;instock;no;42;799;product-variant;6291
6292;powerbase.white;white ;yes;instock;no;25;799;product-variant;6291
6293;;USB-хаб pocketHub;yes;instock;no;;;variable;
7405;pockethub.black;black ;yes;instock;no;40;299;product-variant;6293
6294;;USB-хаб masterHub;yes;instock;no;;;variable;
7496;masterhub.black;black ;yes;instock;no;1;1099;product-variant;6294
6295;;Комплект кабелей auxKit;yes;instock;no;;;variable;
7389;auxkit.black;black ;yes;instock;no;78;299;product-variant;6295
6296;;Стилус Lami-2;yes;instock;no;;;variable;
10290;lami-2.black;black ;yes;instock;no;0;0;product-variant;6296
6297;lami-2.white;white ;yes;instock;no;0;0;product-variant;6296
6298;;Стилус techPen;yes;instock;no;;;variable;
10275;techpen.black;black ;yes;instock;no;4;199;product-variant;6298
6299;techpen.silver;silver ;yes;instock;no;0;0;product-variant;6298
6300;;Сумка для ноутбука Rebel-MB;yes;instock;no;;;variable;
7488;rebel-mb.black;black ;yes;instock;no;0;0;product-variant;6300
6301;;Сумка для ноутбука Ascend-HB;yes;instock;no;;;variable;
7602;ascend-hb.grey;grey ;yes;instock;no;7;749;product-variant;6301
6302;;Сумка для ноутбука Dapp-TB;yes;instock;no;;;variable;
7593;dapp-tb.red;Blue/Red ;yes;instock;no;2;649;product-variant;6302
6303;;Сумка для ноутбука Trench-L;yes;instock;no;;;variable;
7555;trench-l.black;black ;yes;instock;no;149;949;product-variant;6303
6304;trench-l.grey;grey ;yes;instock;no;3;949;product-variant;6303
6305;trench-l.brown;brown ;yes;instock;no;0;0;product-variant;6303
6306;;Сумка для ноутбука/планшета Trench-S;yes;instock;no;;;variable;
7556;trench-s.black;black ;yes;instock;no;31;799;product-variant;6306
6307;trench-s.grey;grey ;yes;instock;no;28;799;product-variant;6306
6308;trench-s.brown;brown ;yes;instock;no;1;799;product-variant;6306
6271;;Кабель c подставкой Pose-LT Lightning-USB 1.15 м;yes;instock;no;;;variable;
7226;pose-lt.white;white ;yes;instock;no;22;199;product-variant;6271
7225;pose-lt.black;black ;yes;instock;no;20;199;product-variant;6271
